Tempo	C1	C2	C3	C4	C5
5,7	0,313806227	-0,47394073	3,5473747	-0,7420284	-1,2399056
5,72	0,434924411	-0,54096264	2,972901	-1,4984187	-2,9346027
5,74	-1,73419218	-0,8856468	1,5271424	-1,709059	-3,2792869
5,76	-3,62804024	-2,7239625	0,6271337	-1,1345854	-2,88673
5,78	-3,41883615	-3,5665238	1,3643749	0,25372586	-2,8101335
5,8	-2,08653608	-4,3133397	0,28244954	1,0867126	-1,5367169
5,82	-2,659094745	-3,825037	-5,38569	0,36862057	0,359046
5,84	-6,05040415	-2,475024	-3,5378	-1,14416	2,1973617
5,86	-15,51964445	-1,4122477	1,2207564	-3,7197168	3,020774
5,88	-15,49762195	-0,70373017	5,806971	-5,682502	0,6750065
5,9	-1,547009555	0,5792609	3,6239712	-6,3144226	-2,408002
5,92	2,130579125	1,6324625	4,7441945	-3,6143966	-2,9824755
5,94	-0,159655788	1,3930986	0,54096264	0,8186249	-0,61755913
5,96	0,214709531	0,110107444	-2,7239625	4,351638	1,5654407
5,98	1,789246015	-1,6707608	-4,6867476	4,993133	1,3165021
6	0,776257475	-3,0016246	-2,0728924	3,0877957	-0,5792609
6,02	-1,613074065	-3,039923	1,3260766	0,28244954	-1,1633091
6,04	-2,16361138	-2,149489	2,3505547	-1,4218222	-0,8856468
6,06	-1,81126748	-1,4601204	2,2356598	-2,3026817	-0,92394507
6,08	-1,8663212	-1,3930986	0,40691882	-2,819708	0,023936402
6,1	-2,86829895	-0,8760723	-0,13883112	-2,580344	5,7016506
6,12	-3,837244445	0,081383765	-0,3111732	-1,383524	11,771922
6,14	-2,8903203	0,2441513	1,0675635	0,2154276	10,134672
6,16	-0,798278975	0,014361841	1,3452257	2,1207652	4,0261025
6,18	0,534021096	-0,10053288	0,27287498	3,825037	-4,6388745
6,2	1,58004181	-0,062234644	0,64628285	4,0644007	-10,555953
6,22	2,16361138	-0,25372586	1,8143792	2,3888528	-8,957002
6,24	-1,73419218	-0,8664977	1,6133134	-1,5079932	-3,7867386
6,26	-6,40274805	-1,6899099	0,5218136	-4,3324885	0,6558574
6,28	-4,82821175	-1,929274	0,5505372	-3,0111992	2,2835326
6,3	-2,284729495	-1,3548003	1,2494801	-0,014361841	3,2888615
6,32	-0,743225278	-0,6750065	1,2207564	2,2069361	3,518651
6,34	1,02950461	-0,42606795	0,40691882	2,0537431	2,9441774
6,36	0,6881715	-0,665432	-0,34947145	1,3356512	1,2877784
6,38	-0,97445089	-0,8856468	-0,32074776	1,2303311	-0,23457673
6,4	-3,187610595	-0,9526688	0,2441513	-0,5888355	-1,3930986
6,42	-0,952429425	-0,70373017	0,46436617	3,3558834	-2,4463003
6,44	6,29264061	-0,39734426	0,5505372	3,0303483	-3,0016246
6,46	11,78700205	-0,40691882	0,6079846	0,56011176	-3,604822
6,48	8,186488555	-0,61755913	0,8090504	-3,2409887	-5,0984535
6,5	-0,467956643	-0,71330476	1,2973529	-2,7239625	-4,351638
6,52	-10,0032612	-0,665432	1,9196993	-2,4367256	-2,6090677
6,54	-11,67689415	-0,5888355	1,383524	-0,40691882	-0,85692316
6,56	-6,96429604	-0,59841	-0,61755913	1,7186337	1,709059
6,58	-2,03148236	-0,751603	-0,91437054	2,1973617	1,4792696
6,6	0,192688032	-0,93351966	1,0196906	0,665432	-1,0771381
6,62	1,52498809	-1,0196906	1,3069274	-1,8814012	0,93351966
6,64	1,998450105	-0,99096704	0,22500217	-3,1643922	10,096374
6,66	1,15062284	-0,8090504	0,78032666	-3,078221	3,4324799
6,68	-1,106579795	-0,9526688	1,3643749	-2,1111906	-13,045339
6,7	-3,92533042	-1,2399056	0,8760723	-0,83777404	-18,244326
6,72	-5,378748605	-1,1154363	-0,34947145	-1,2303311	-9,301685
6,74	-4,299695785	-0,665432	-1,8335283	-1,1728836	3,671844
6,76	-2,4168584	-0,5505372	-2,9250283	-1,2686293	5,9218655
6,78	-5,433802555	-0,8856468	-1,8143792	-0,9718179	7,5399666
6,8	-5,22459835	-0,99096704	-2,2931073	-1,1824582	6,3527207
6,82	-0,313806227	-0,85692316	-3,4612036	-1,1058618	3,7197168
6,84	0,63311778	-0,85692316	-3,1835413	-1,1633091	-0,22500217
6,86	-0,567053328	-1,3069274	-2,4654493	-0,93351966	-0,15798025
6,88	-4,28868488	-1,4984187	-1,5462915	-0,56011176	-0,64628285
6,9	0,08258058	-1,3548003	-0,043085523	-0,26330042	-1,8431029
6,92	3,06649225	-1,2590547	1,7569319	-0,6845811	-2,187787
6,94	-10,80704565	-0,93351966	4,1601467	-1,5079932	-1,8143792
6,96	-12,1503572	-1,2016073	4,5910015	-1,6611862	-1,2303311
6,98	-1,30477321	-1,7186337	3,499502	-1,3165021	-0,2920241
7	3,73814791	-1,9005502	2,0824668	-1,2399056	1,5367169
7,02	2,57100877	-1,8335283	0,45479164	-1,4792696	3,3271596
7,04	2,55999798	-1,7665064	0,7994758	-1,1824582	3,5282254
7,06	1,64610632	-2,6282167	3,039923	-0,30159867	1,929274
