Tempo	DP1	DP2	DP3	DP4	DP5
2,52	-0,289630462	1,5271424	0,56968635	-2,5994933	-0,081383765
2,54	-0,152714232	0,12925656	-2,4845984	-3,3941817	-1,4409714
2,56	-0,679315043	-0,7994758	-4,619725	-3,518651	-4,0261025
2,58	-1,26910806	-2,4845984	-4,1888704	-1,2303311	-0,83777404
2,6	-1,41655624	-5,0601554	-2,321831	-1,1154363	0,4164934
2,62	-1,03740362	-2,321831	-0,69415563	-2,6952388	3,1452432
2,64	-0,100054163	2,9920502	-0,40691882	-4,275041	3,2792869
2,66	0,57399496	0,9718179	-0,39734426	-2,733537	-1,3452257
2,68	0,710911135	-2,5707695	-1,0867126	-0,8760723	-1,2399056
2,7	0,64771905	-2,2452345	-1,3260766	-0,17712937	1,79523
2,72	0,90048739	-0,15798025	0,2154276	0,98139244	3,0303483
2,74	1,58506854	-7,1474094	3,1643922	1,0867126	2,3792782
2,76	1,026871626	-11,350641	3,4612036	0,54096264	0,27287498
2,78	-0,942615476	7,8367777	-1,1824582	0,8281995	-0,23457673
2,8	-3,25965915	12,116607	-5,0601554	0,110107444	0,30159867
2,82	-3,07008284	-3,365458	-2,8101335	-1,3452257	1,1728836
2,84	-1,96422105	-8,736787	1,1633091	-3,671844	1,0196906
2,86	-1,30070402	-2,6282167	1,4601204	0,7994758	0,9526688
2,88	1,23751188	2,3122563	-1,2590547	10,048501	1,0867126
2,9	-0,215906328	-0,92394507	-1,2111819	9,665519	0,8664977
2,92	0,437078686	-2,3792782	0,98139244	13,323001	1,0962871
2,94	0,93208346	-2,3984275	-5,28037	-4,1409974	1,0005416
2,96	1,51134434	-3,6239712	-4,236743	-8,363379	0,6845811
2,98	1,090063744	-3,604822	8,4686985	7,741032	0,665432
3	0,310694494	-1,6133134	5,0601554	6,6878304	0,2154276
3,02	0,521334803	-1,1728836	-0,665432	-2,714388	0,2154276
3,04	0,7319752	-2,015445	-1,8048047	-9,732541	-0,023936402
3,06	1,23751188	-2,4845984	-2,867581	-7,3006024	-0,11968201
3,08	2,43816188	-2,1782124	-0,45479164	-0,8856468	0,023936402
3,1	3,175403	-1,8143792	0,28244954	6,525063	0,30159867
3,12	3,67040773	-1,9579976	-2,513322	5,759098	0,32074776
3,14	3,5124276	-2,3122563	-1,8431029	-1,3260766	0,22500217
3,16	2,37496963	-2,1399143	-1,2303311	-4,2271686	-0,7994758
3,18	0,279098446	-1,5654407	-2,1590633	-3,7484405	-2,0920415
3,2	-1,69038859	-1,709059	-3,5378	-3,039923	-2,5707695
3,22	-1,18485191	-1,9867213	-2,1399143	-2,475024	-0,98139244
3,24	0,72144314	-2,101616	-1,0388398	-0,54096264	0,9430942
3,26	2,05900915	-2,3792782	-1,4505459	0,19627848	3,3367343
3,28	1,38496017	-2,0633178	-1,1154363	-0,39734426	4,495256
3,3	-0,58452691	-1,6803354	-0,8473486	-1,9675722	1,4218222
3,32	-1,36389616	-1,8814012	-0,7994758	-1,6899099	0,14840569
3,34	-0,616122936	-2,427151	-1,1250108	-0,3877697	0,19627848
3,36	0,07899012	-2,6090677	-1,8718265	-0,4835153	1,6324625
3,38	0,68984707	-2,475024	-2,3122563	-1,3356512	2,4654493
3,4	2,3855018	-1,8431029	-2,187787	-2,187787	1,1920328
3,42	1,64826057	-1,3930986	-2,149489	-1,2494801	1,2494801
3,44	-0,75303921	-2,187787	-1,8143792	-0,69415563	0,70373017
3,46	1,20591581	-3,9016335	-1,6133134	-1,709059	-0,0718092
3,48	1,19538386	-1,9675722	-1,9005502	-2,321831	-0,32074776
3,5	-0,72144314	1,3930986	-1,7856555	-2,9537518	-0,3111732
3,52	-0,32122651	1,4984187	-1,6037389	-3,8633351	0,42606795
3,54	1,41655624	-1,0292653	-1,7377827	-2,6760898	1,3260766
3,56	-1,13219183	-2,9441774	-1,5941644	-1,6133134	2,34098
3,58	-4,0390284	-3,8633351	-1,1824582	-2,0441687	3,4229054
3,6	-3,75466388	-4,2558923	-1,3165021	-2,427151	2,905879
3,62	-0,710911135	-4,236743	-1,3069274	-3,078221	1,6994845
3,64	0,858359326	-2,6186423	-0,9622433	-2,8484318	3,3271596
3,66	-0,121118188	0,665432	-1,3739494	-0,8473486	5,088879
3,68	-1,58506854	1,3260766	-1,7665064	0,69415563	5,3569665
3,7	-1,54294041	0,11968201	-1,3165021	0,76117754	5,682502
3,72	-0,068458108	-1,4409714	-1,3739494	1,0196906	2,2931073
3,74	-0,057926088	-2,408002	-0,78990126	0,7994758	-9,41658
3,76	-1,05846763	-2,8292825	0,49308985	-0,5792609	0,70373017
3,78	-1,41655624	-3,0973704	2,6760898	-5,0984535	1,8239537
3,8	-1,60613244	-1,469695	4,916537	-0,9622433	-2,0824668
3,82	-1,45868426	2,0441687	4,2271686	7,6261373	-3,1548176
3,84	-1,35336421	3,5282254	-0,64628285	8,746361	0,6558574
3,86	-1,10059576	2,3122563	-4,2271686	12,968742	2,5899186
3,88	-0,7319752	-0,64628285	-8,32508	5,0314317	0,8760723
3,9	-0,679315043	-3,4324799	-9,349558	-3,078221	-0,10053288
3,92	-0,60559092	-4,868664	-5,950589	-0,70373017	0,03351096
3,94	-0,68984707	-2,2739582	-2,1782124	5,079304	0,37819514
3,96	-0,700379086	1,9196993	-0,69415563	1,9005502	1,3069274
3,98	-0,416014654	2,2739582	1,0675635	-7,875076	1,6324625
4	-0,500270804	-0,18670394	1,0484143	-7,12826	0,26330042
4,02	-0,8267633	-1,1058618	-1,3260766	-4,993133	0,78032666
4,04	-0,58452691	-1,6037389	-3,7101421	0,7228793	0,71330476
4,06	-0,489738777	-2,1111906	-5,462287	7,6261373	0,56968635
4,08	-0,97421148	-8,621892	-5,8165455	3,9399316	0,5313881
4,1	-1,20591581	-1,9579976	-4,543129	-2,3888528	0,14840569
4,12	-0,42654667	9,033598	-2,8963046	-4,916537	0,33032233
4,14	0,23697036	-0,26330042	-1,5845897	-2,8580062	1,4792696
4,16	0,184310291	-7,2527294	-0,50266445	-0,6271337	0,92394507
4,18	0,279098446	-2,714388	0,062234644	-0,69415563	0,062234644
4,2	0,542398835	1,1058618	0,12925656	-1,5079932	0,25372586
4,22	0,552930895	-1,6516117	0,359046	-2,0728924	0,7994758
4,24	1,14272378	-3,5378	0,36862057	-1,6611862	0,18670394
4,26	1,70092065	-1,4888442	-0,3398969	-0,63670826	-0,023936402
4,28	0,858359326	-2,0537431	-0,49308985	-0,78032666	0,8186249
4,3	-2,17486137	-3,7005677	-0,64628285	-1,79523	0,4164934
4,32	-3,0068907	-2,1303396	-0,4356425	-1,9962958	0,043085523
4,34	-3,94424019	-0,37819514	0,2441513	-1,6420372	0
4,36	-2,94369878	-1,6994845	0,18670394	0,23457673	0,46436617
4,38	0,64771905	-3,0016246	-0,751603	0,4164934	-0,15798025
4,4	-1,16378779	-1,948423	-1,7473572	-2,1782124	-1,1537346
4,42	-0,07899012	-1,4984187	-2,101616	-2,6569405	-0,6271337
4,44	1,13219183	-2,2356598	-0,63670826	-1,3260766	1,0579889
4,46	2,6488022	-2,561195	0,15798025	2,8292825	0,4835153
4,48	2,28018164	-1,9867213	-0,23457673	2,7814097	0,023936402
4,5	0,784635236	-1,6994845	2,360129	-2,2356598	-0,46436617
4,52	0,163246259	-1,4505459	-1,6707608	-6,0559096	0,062234644
4,54	0,331758537	-1,5462915	4,466532	-5,347392	0,71330476
4,56	1,03740362	-2,254809	6,678256	-0,78032666	1,1920328
4,58	2,30124565	-2,6760898	-2,0824668	1,1728836	1,2973529
4,6	2,97529452	-2,2356598	-4,5527034	-0,7994758	0,56011176
4,62	3,07008284	-1,6037389	-3,2697124	-0,5313881	-0,8186249
4,64	3,6809399	-1,5654407	-2,1111906	-0,59841	-1,3356512
4,66	3,2701911	-2,408002	-1,0005416	-0,50266445	-0,70373017
4,68	1,36389616	-2,3122563	-1,4409714	-0,23457673	-0,9622433
4,7	-0,110586168	-1,4026731	-0,9622433	0,5313881	-1,3739494
4,72	-0,131650211	-0,71330476	-0,39734426	-1,3739494	-0,78990126
4,74	1,56400442	-0,8281995	-1,2877784	1,1058618	0,23457673
4,76	3,31231912	-2,6186423	-2,5899186	6,563361	1,6899099
4,78	2,2380534	-3,039923	-2,4654493	6,323997	3,9399316
4,8	-0,616122936	-3,126094	-2,0633178	10,412334	7,0612383
4,82	-1,31123608	-1,622888	-1,8718265	0,9718179	7,922949
4,84	0,247502387	0,8281995	-1,7473572	-4,916537	4,7920675
4,86	1,03740362	0,27287498	-1,6611862	2,6569405	2,8580062
4,88	0,88995544	-2,4654493	-1,3643749	1,862252	7,089962
4,9	2,56454594	-4,0644007	-1,1920328	-2,5037475	11,963413
4,92	1,05846763	-3,126094	-1,3548003	-6,7931504	8,00912
4,94	-1,37442811	-1,9388485	-1,6899099	-3,3941817	1,3930986
4,96	-2,30124565	-2,1303396	-1,8909757	-2,427151	-3,6431203
4,98	-0,95314747	-1,6324625	-2,1590633	2,360129	-3,4707782
5	0,93208346	-1,6899099	-1,8048047	1,9579976	0,110107444
5,02	1,17431985	-2,8101335	-1,5558661	-2,9824755	1,3643749
5,04	1,35336421	-3,0111992	-1,3356512	-3,5473747	2,8484318
5,06	0,110586168	-2,7814097	-0,6845811	-3,1069448	-3,5473747
5,08	-2,32230966	-2,7431116	0,14840569	-1,5367169	-4,96441
5,1	-2,62773808	-1,5175679	0,359046	0,359046	0,44521707
5,12	-1,974753	-1,9196993	-0,4356425	0,39734426	3,365458
5,14	-1,079531684	-1,4409714	-1,2399056	-1,2877784	4,284616
5,16	0,66878306	-1,3069274	-0,61755913	-2,5420458	0,3111732
5,18	1,04793568	-1,3069274	2,714388	-1,7282082	-1,9867213
5,2	-1,16378779	-1,14416	5,0984535	-0,8186249	-0,8090504
5,22	-2,5540141	-2,0441687	2,2069361	-0,3877697	0,76117754
5,24	-1,51134434	-2,6856642	-5,38569	-0,26330042	0,014361841
5,26	0,289630462	-2,0824668	-8,296356	-0,49308985	0,7994758
5,28	0,837295294	-1,7856555	-9,41658	-1,0484143	1,6707608
5,3	-0,66878306	-2,0824668	-6,5346375	-0,8090504	0,6845811
5,32	-2,24858557	-2,5516202	-1,8431029	-0,17712937	0,16755481
5,34	-1,96422105	-3,8920588	0,9622433	1,0292653	0,665432
5,36	-0,68984707	-4,1601467	1,2782038	-0,54096264	0,5313881
5,38	-0,710911135	-3,2601378	1,0292653	-4,763344	-0,19627848
5,4	-1,19538386	-2,2739582	-1,383524	-2,3888528	-1,2399056
5,42	-0,95314747	-0,83777404	-3,4133308	-1,8431029	-0,2154276
5,44	-0,784635236	-2,34098	-4,0739756	-4,2080193	1,0005416
5,46	-0,658251	-1,6516117	-3,5665238	-1,9196993	0,3398969
5,48	-0,868891386	1,9579976	-2,3314054	-2,360129	0,043085523
5,5	-0,93208346	-3,039923	-1,5271424	-3,0303483	0,9526688
5,52	-0,437078686	-1,5941644	-1,0579889	-3,3367343	1,862252
5,54	-0,110586168	4,303765	-0,70373017	-0,5218136	0,91437054
5,56	-0,310694494	2,2931073	-0,2154276	0,8952214	-0,22500217
5,58	-0,331758537	-2,3314054	0,5218136	1,6037389	0,5792609
5,6	-0,68984707	-3,0877957	1,0388398	-1,8909757	-0,2920241
5,62	-1,23751188	-1,709059	1,2494801	-1,8526775	-0,85692316
5,64	-1,51134434	-1,0962871	1,4026731	-2,3984275	-1,6803354
5,66	-0,942615476	-2,34098	0,09095833	-2,905879	-1,5750152
5,68	0,710911135	-2,321831	-0,91437054	-3,173967	-0,6750065
5,7	2,18539343	-0,7994758	-1,5558661	-3,212265	-0,28244954
5,72	2,77518648	0,11968201	-2,5420458	-2,9537518	-0,4835153
5,74	1,62719656	-0,7228793	-0,92394507	-2,101616	-0,6558574
5,76	-0,595058904	-1,9962958	2,3984275	-1,5367169	-0,5313881
5,78	-1,7851768	-1,6803354	0,8090504	-1,8814012	0,5505372
5,8	-1,86943295	-1,383524	-1,5845897	-2,5899186	1,2877784
